pid,name,brand,url,price,old_price,in_stock,labels,scraped_at
53069,100% Whey Protein - 400 г,Nutrend,https://belok.ua/ua/100-whey-protein-1000-g-vanil-1/,939.0,,True,В наявності,2026-09-09 15:25
50614,Whey Protein - 1 кг,Power Pro,https://belok.ua/ua/power-pro-whey-protein/,1810.0,,True,В наявності,2026-09-09 15:25
52336,R1 Casein - 0.9 кг,Rule 1,https://belok.ua/ua/casein-948-g-shokolad-1/,1975.0,,True,В наявності,2026-09-09 15:25
52788,Anabolic Monster Beef Protein - 1 кг,Amix,https://belok.ua/ua/anabolic-monster-beef-protein-1000-g-forest-fruits-1/,1555.0,,True,В наявності,2026-09-09 15:25
52529,"Whey-Pro FUSION - 2,3 кг",Amix,https://belok.ua/ua/whey-pro-fusion-1000-g-banana-1/,4549.0,,True,В наявності | Хіт продажу,2026-09-09 15:25
54109,"Protein Whey Isolate, 1350 г",Rule 1,https://belok.ua/ua/protein-480-g-shokolad-1/,4435.0,,True,В наявності | Новинки,2026-09-09 15:25
52359,Whey Isolate  - 29 г,Rule 1,https://belok.ua/ua/r1-protein-29-g/,115.0,,True,В наявності,2026-09-09 15:25
52504,Amix Gourmet Protein - 1 кг,Amix,https://belok.ua/ua/gourmet-protein-1000g-strawberry-white-choco-1/,1855.0,,False,,2026-09-09 15:25
53778,Whey Core - 32 г,Nutrend,https://belok.ua/ua/whey-core/,78.0,,False,,2026-09-09 15:25
52530,IsoPrime CFM - 500 г,Amix,https://belok.ua/ua/isoprime-cfm-500g-cookies-cream-1/,1649.0,,False,,2026-09-09 15:25
50321,"100% Whey Gold Standard - 2,27 кг",Optimum Nutrition,https://belok.ua/ua/100-whey-gold-standard/,4999.0,5555.0,True,-10% | В наявності,2026-09-09 15:40
52527,Whey-Pro FUSION - 1 кг,Amix,https://belok.ua/ua/whey-pro-fusion-1000-g-banana-1/,2157.0,,True,В наявності | Хіт продажу,2026-09-09 15:40
53716,100% Standard Whey - 2 кг,Sporter,https://belok.ua/ua/100-standart-whey/,2999.0,,True,В наявності | Хіт продажу,2026-09-09 15:40
53732,100% Isolate - 700 г,Sporter,https://belok.ua/ua/100-isolate/,1598.0,,True,В наявності | Хіт продажу,2026-09-09 15:40
52330,Whey Protein - 890 г,Rule 1,https://belok.ua/ua/whey-blend-462-g-vanilnyj-krem-1/,2098.0,,True,В наявності,2026-09-09 15:40
52331,"Whey Protein - 2,2 кг",Rule 1,https://belok.ua/ua/whey-blend-462-g-vanilnyj-krem-1/,3789.0,,True,В наявності,2026-09-09 15:40
53731,"100% Isolate - 1,8 кг",Sporter,https://belok.ua/ua/100-isolate/,3299.0,,True,В наявності | Хіт продажу,2026-09-09 15:40
50320,100% Whey Gold Standard - 909 г,Optimum Nutrition,https://belok.ua/ua/100-whey-gold-standard/,2259.0,2526.0,True,-11% | В наявності,2026-09-09 15:40
52503,GreenDay Vege Fiit Protein - 720 г,Amix,https://belok.ua/ua/greenday-vege-fiit-protein-720-g-double-chocolate-1/,1075.0,,True,В наявності,2026-09-09 15:40
52842,IsoPrime CFM - 2 кг,Amix,https://belok.ua/ua/isoprime-cfm-500g-cookies-cream-1/,5588.0,,True,В наявності,2026-09-09 15:40
39636,Soy Protein Isolate - 390 г,Ostrovit,https://belok.ua/ua/soy-protein-isolate-390-g/,325.0,,True,В наявності,2026-09-09 15:40
50612,Protein MIX - 1 кг,Power Pro,https://belok.ua/ua/power-pro-protein-mix/,1750.0,,True,В наявності,2026-09-09 15:40
52506,Amix Gold Whey Protein Isolate - 2280 г,Amix,https://belok.ua/ua/gold-whey-protein-isolate-2280-g-banana-1/,5799.0,,True,В наявності,2026-09-09 15:40
52749,IsoPrime CFM - 1 кг,Amix,https://belok.ua/ua/isoprime-cfm-500g-cookies-cream-1/,2997.0,,True,В наявності,2026-09-09 15:40
50614,Whey Protein - 1 кг,Power Pro,https://belok.ua/ua/power-pro-whey-protein/,1810.0,,True,В наявності,2026-09-09 15:40
52336,R1 Casein - 0.9 кг,Rule 1,https://belok.ua/ua/casein-948-g-shokolad-1/,1975.0,,True,В наявності,2026-09-09 15:40
52788,Anabolic Monster Beef Protein - 1 кг,Amix,https://belok.ua/ua/anabolic-monster-beef-protein-1000-g-forest-fruits-1/,1555.0,,True,В наявності,2026-09-09 15:40
52529,"Whey-Pro FUSION - 2,3 кг",Amix,https://belok.ua/ua/whey-pro-fusion-1000-g-banana-1/,4549.0,,True,В наявності | Хіт продажу,2026-09-09 15:40
54109,"Protein Whey Isolate, 1350 г",Rule 1,https://belok.ua/ua/protein-480-g-shokolad-1/,4435.0,,True,В наявності | Новинки,2026-09-09 15:40
52359,Whey Isolate  - 29 г,Rule 1,https://belok.ua/ua/r1-protein-29-g/,115.0,,True,В наявності,2026-09-09 15:40
32859,Whey Protein - 455 г - Шоколад,Rule 1,https://belok.ua/ua/r1-whey-blend-476-g-shokolad/,1235.0,,True,В наявності,2026-09-09 15:40
53069,100% Whey Protein - 400 г,Nutrend,https://belok.ua/ua/100-whey-protein-1000-g-vanil-1/,939.0,,True,В наявності,2026-09-09 15:40
52917,Whey Protein - 34 г,Rule 1,https://belok.ua/ua/whey-blend-462-g-vanilnyj-krem-1/,95.0,,True,В наявності,2026-09-09 15:40
39681,Protein Shot - 60 мл - апельсин,Nutrend,https://belok.ua/ua/protein-shot-60-ml-120-apelsin/,95.0,,True,В наявності,2026-09-09 15:40
50613,Femine-PRO - 1 кг,Power Pro,https://belok.ua/ua/power-pro-femine-pro/,1845.0,,True,В наявності,2026-09-09 15:40
52526,Whey-Pro FUSION - 30 г,Amix,https://belok.ua/ua/whey-pro-fusion-1000-g-banana-1/,85.0,,True,В наявності,2026-09-09 15:40
52985,Iso Whey ProZero - 500 г,Nutrend,https://belok.ua/ua/iso-whey-prozero-2250-g-bilij-shokolad-1/,1588.0,,True,В наявності,2026-09-09 15:40
53975,"100% Whey Protein, 800 г",Nutrend,https://belok.ua/ua/100-whey-protein-1000-g-vanil-1/,1799.0,,True,В наявності,2026-09-09 15:40
54123,"Source 7 Protein, 820 г",Rule 1,https://belok.ua/ua/source-7-protein/,1555.0,,True,В наявності | Новинки,2026-09-09 15:40
53829,HydroBeef® Protein - 1000 г,Amix,https://belok.ua/ua/hydrobeef-protein/,1599.0,,True,В наявності,2026-09-09 15:40
54125,"Source 7 Protein, 41 г",Rule 1,https://belok.ua/ua/source-7-protein/,59.0,,True,В наявності | Новинки,2026-09-09 15:40
54070,"HydroBeef High Class Protein, 2000 г",Amix,https://belok.ua/ua/hydrobeef-protein/,2977.0,,True,В наявності,2026-09-09 15:40
54124,"Source 7 Protein, 1800 г",Rule 1,https://belok.ua/ua/source-7-protein/,3268.0,,True,В наявності | Новинки,2026-09-09 15:40
52305,Vegan Protein - 500 г,IronMaxx,https://belok.ua/ua/vegan-protein-500-g-paket-shokolad-1/,897.0,,True,В наявності,2026-09-09 15:40
53310,Clear BEEF Protein - 1 кг - чорна смородина - ківі,Sporter,https://belok.ua/ua/clear-beef-protein-1-kg-chorna-smorodina-kivi/,1140.0,,True,В наявності,2026-09-09 15:40
52106,100% Whey Protein - 2350 г,IronMaxx,https://belok.ua/ua/100-whey-protein-2350-gr-banka-francuzskaya-vanil-1/,4999.0,,False,,2026-09-09 15:40
52528,Whey-Pro FUSION - 500 г,Amix,https://belok.ua/ua/whey-pro-fusion-1000-g-banana-1/,1155.0,,False,Хіт продажу,2026-09-09 15:40
53717,100% Standard Whey - 900 г,Sporter,https://belok.ua/ua/100-standart-whey/,1579.0,,False,Хіт продажу,2026-09-09 15:40
52327,"Whey Isolate - 2,3 кг",Rule 1,https://belok.ua/ua/protein-480-g-shokolad-1/,6497.0,,False,,2026-09-09 15:40
50357,"Platinum Hydrowhey - 1,59 кг",Optimum Nutrition,https://belok.ua/ua/optimum-nutrition-platinum-hydrowhey/,5300.0,,False,,2026-09-09 15:40
53778,Whey Core - 32 г,Nutrend,https://belok.ua/ua/whey-core/,78.0,,False,,2026-09-09 15:40
52530,IsoPrime CFM - 500 г,Amix,https://belok.ua/ua/isoprime-cfm-500g-cookies-cream-1/,1649.0,,False,,2026-09-09 15:40
52326,Whey Isolate - 899 г,Rule 1,https://belok.ua/ua/protein-480-g-shokolad-1/,2799.0,,False,,2026-09-09 15:40
53071,100% Whey Protein - 30 г,Nutrend,https://belok.ua/ua/100-whey-protein-1000-g-vanil-1/,95.0,,False,,2026-09-09 15:40
53933,Soy Isolate - 1кг - шоколад,Sporter,https://belok.ua/ua/soy-isolate-1kg-shokolad/,738.0,,False,,2026-09-09 15:40
53777,Whey Core - 1800 г,Nutrend,https://belok.ua/ua/whey-core/,2885.0,,False,,2026-09-09 15:40
52107,100% Whey Protein - 900 г,IronMaxx,https://belok.ua/ua/100-whey-protein-2350-gr-banka-francuzskaya-vanil-1/,2248.0,,False,Хіт продажу,2026-09-09 15:40
53067,100% Whey Protein - 1000 г,Nutrend,https://belok.ua/ua/100-whey-protein-1000-g-vanil-1/,1899.0,,False,,2026-09-09 15:40
53467,Ultra Premium Whey Protein Build - 34 г,Everbuild Nutrition,https://belok.ua/ua/ultra-premium-whey-protein-build/,55.0,,False,,2026-09-09 15:40
52532,ZeroPro Protein - 1 кг,Amix,https://belok.ua/ua/zeropro-protein-1000-g-creamy-vanilla-cheescake-1/,2595.0,,False,,2026-09-09 15:40
50043,"Syntha-6 - 2,27 кг",BSN,https://belok.ua/ua/bsn-syntha-6/,3985.0,,False,,2026-09-09 15:40
52533,ZeroPro Protein - 2 кг,Amix,https://belok.ua/ua/zeropro-protein-1000-g-creamy-vanilla-cheescake-1/,4999.0,,False,,2026-09-09 15:40
52993,Whey 100% Protein - 1 кг,Sporter,https://belok.ua/ua/whey-100-protein-1-kg-polunicya-1/,1658.0,,False,,2026-09-09 15:40
52994,Whey 100% Protein (lactose free) - 1 кг,Sporter,https://belok.ua/ua/whey-100-protein-1-kg-vanil-lactose-free-1/,1699.0,,False,,2026-09-09 15:40
50337,100% Gold Standard Casein - 850 грам,Optimum Nutrition,https://belok.ua/ua/optimum-nutrition-100-gold-standard-casein/,2099.0,,False,,2026-09-09 15:40
